Address
181-183 MACQUARIE ST HOBART 7000 
188 MACQUARIE ST HOBART 7000 
197 MACQUARIE ST HOBART 7000 
212-218 MACQUARIE ST HOBART 7000 
223 MACQUARIE ST HOBART 7000 
234 MACQUARIE ST HOBART 7000 
240 MACQUARIE ST HOBART 7000 
132 MACQUARIE ST HOBART 7000 
262 MACQUARIE ST HOBART 7000 
5 HAMPDEN RD BATTERY POINT 7004 
11 HAMPDEN RD BATTERY POINT 7004 
23 HAMPDEN RD BATTERY POINT 7004 
25 HAMPDEN RD BATTERY POINT 7004 
31 HAMPDEN RD BATTERY POINT 7004 
33-35 HAMPDEN RD BATTERY POINT 7004 
61-63 HAMPDEN RD BATTERY POINT 7004 
65 HAMPDEN RD BATTERY POINT 7004 
67 HAMPDEN RD BATTERY POINT 7004 
36-38 HAMPDEN RD BATTERY POINT 7004 
40 HAMPDEN RD BATTERY POINT 7004 
42 HAMPDEN RD BATTERY POINT 7004 
44-46 HAMPDEN RD BATTERY POINT 7004 
48 HAMPDEN RD BATTERY POINT 7004 
50 HAMPDEN RD BATTERY POINT 7004 
52 HAMPDEN RD BATTERY POINT 7004 
56-58 HAMPDEN RD BATTERY POINT 7004 
60 HAMPDEN RD BATTERY POINT 7004 
64 HAMPDEN RD BATTERY POINT 7004 
66 HAMPDEN RD BATTERY POINT 7004 
68 HAMPDEN RD BATTERY POINT 7004 
70 HAMPDEN RD BATTERY POINT 7004 
72 HAMPDEN RD BATTERY POINT 7004 
76 HAMPDEN RD BATTERY POINT 7004 
103 HAMPDEN RD BATTERY POINT 7004 
105 HAMPDEN RD BATTERY POINT 7004 
107 HAMPDEN RD BATTERY POINT 7004 
109 HAMPDEN RD BATTERY POINT 7004 
111 HAMPDEN RD BATTERY POINT 7004 
7-9 HAMPDEN RD BATTERY POINT 7004 
37 HAMPDEN RD BATTERY POINT 7004 
39 HAMPDEN RD BATTERY POINT 7004 
41 HAMPDEN RD BATTERY POINT 7004 
43 HAMPDEN RD BATTERY POINT 7004 
57-59 HAMPDEN RD BATTERY POINT 7004 
69 HAMPDEN RD BATTERY POINT 7004 
71 HAMPDEN RD BATTERY POINT 7004 
73 HAMPDEN RD BATTERY POINT 7004 
75 HAMPDEN RD BATTERY POINT 7004 
77 HAMPDEN RD BATTERY POINT 7004 
79 HAMPDEN RD BATTERY POINT 7004 
95 HAMPDEN RD BATTERY POINT 7004 
97 HAMPDEN RD BATTERY POINT 7004 
99 HAMPDEN RD BATTERY POINT 7004 
101 HAMPDEN RD BATTERY POINT 7004 
78 HAMPDEN RD BATTERY POINT 7004 
13 EDWARD ST GLEBE 7000 
74 HAMPDEN RD BATTERY POINT 7004 
80-82 HAMPDEN RD BATTERY POINT 7004 
2-2A HAMPDEN RD BATTERY POINT 7004 
4 HAMPDEN RD BATTERY POINT 7004 
30 HAMPDEN RD BATTERY POINT 7004 
34 HAMPDEN RD BATTERY POINT 7004 
3 HAMPDEN RD BATTERY POINT 7004 
45 HAMPDEN RD BATTERY POINT 7004 
32 HAMPDEN RD BATTERY POINT 7004 
47 HAMPDEN RD BATTERY POINT 7004 
15 EDWARD ST GLEBE 7000 
113 HAMPDEN RD BATTERY POINT 7004 
13 JAMES ST BATTERY POINT 7004 
15 JAMES ST BATTERY POINT 7004 
17 JAMES ST BATTERY POINT 7004 
19 JAMES ST BATTERY POINT 7004 
21 JAMES ST BATTERY POINT 7004 
65-79 SALAMANCA PL BATTERY POINT 7004 
5 KELLY ST BATTERY POINT 7004 
9 KELLY ST BATTERY POINT 7004 
11 KELLY ST BATTERY POINT 7004 
19 KELLY ST BATTERY POINT 7004 
18 KELLY ST BATTERY POINT 7004 
21 KELLY ST BATTERY POINT 7004 
31 KELLY ST BATTERY POINT 7004 
35 KELLY ST BATTERY POINT 7004 
41 KELLY ST BATTERY POINT 7004 
20 KELLY ST BATTERY POINT 7004 
22 KELLY ST BATTERY POINT 7004 
26 KELLY ST BATTERY POINT 7004 
28 KELLY ST BATTERY POINT 7004 
30 KELLY ST BATTERY POINT 7004 
32 KELLY ST BATTERY POINT 7004 
34 KELLY ST BATTERY POINT 7004 
36 KELLY ST BATTERY POINT 7004 
38 KELLY ST BATTERY POINT 7004 
42 KELLY ST BATTERY POINT 7004 
33 KELLY ST BATTERY POINT 7004 
40 KELLY ST BATTERY POINT 7004 
39 KELLY ST BATTERY POINT 7004 
23 KIRKSWAY PL BATTERY POINT 7004 
25 KIRKSWAY PL BATTERY POINT 7004 
27 KIRKSWAY PL BATTERY POINT 7004 
29 KIRKSWAY PL BATTERY POINT 7004 
5 KNOPWOOD ST BATTERY POINT 7004 
1 MARINE TCE BATTERY POINT 7004 
10 MARINE TCE BATTERY POINT 7004 
7 MCGREGOR ST BATTERY POINT 7004 
9 MCGREGOR ST BATTERY POINT 7004 
11 MCGREGOR ST BATTERY POINT 7004 
12 MCGREGOR ST BATTERY POINT 7004 
14 MCGREGOR ST BATTERY POINT 7004 
8 MC GREGOR ST BATTERY POINT 7004 
10 MCGREGOR ST BATTERY POINT 7004 
18 MCGREGOR ST BATTERY POINT 7004 
11 MONA ST BATTERY POINT 7004 
22 MONA ST BATTERY POINT 7004 
24-26 MONA ST BATTERY POINT 7004 
7 MONA ST BATTERY POINT 7004 
19 MONA ST BATTERY POINT 7004 
23 MONA ST BATTERY POINT 7004 
28 MONA ST BATTERY POINT 7004 
10 MONA ST BATTERY POINT 7004 
30 MONA ST BATTERY POINT 7004 
32 MONA ST BATTERY POINT 7004 
365 MACQUARIE ST SOUTH HOBART 7004 
4 MONA ST BATTERY POINT 7004 
8 MONA ST BATTERY POINT 7004 
16 MONA ST BATTERY POINT 7004 
54-60 MONTPELIER RTT BATTERY POINT 7004 
62 MONTPELIER RTT BATTERY POINT 7004 
2 MONTPELIER RTT BATTERY POINT 7004 
4 MONTPELIER RTT BATTERY POINT 7004 
11 NAPOLEON ST BATTERY POINT 7004 
15 NAPOLEON ST BATTERY POINT 7004 
6 NAPOLEON ST BATTERY POINT 7004 
8 NAPOLEON ST BATTERY POINT 7004 
10 NAPOLEON ST BATTERY POINT 7004 
12 NAPOLEON ST BATTERY POINT 7004 
33 NAPOLEON ST BATTERY POINT 7004 
4 DERWENT LANE BATTERY POINT 7004 
19 NAPOLEON ST BATTERY POINT 7004 
23 NAPOLEON ST BATTERY POINT 7004 
25 NAPOLEON ST BATTERY POINT 7004 
27 NAPOLEON ST BATTERY POINT 7004 
14-16 NAPOLEON ST BATTERY POINT 7004 
18-44 NAPOLEON ST BATTERY POINT 7004 
Ross Patent Slip BATTERY POINT 7004 
19 RUNNYMEDE ST BATTERY POINT 7004 
20 RUNNYMEDE ST BATTERY POINT 7004 
23 RUNNYMEDE ST BATTERY POINT 7004 
25 RUNNYMEDE ST BATTERY POINT 7004 
28 RUNNYMEDE ST BATTERY POINT 7004 
21-23 SALAMANCA PL BATTERY POINT 7004 
52-54 COLLINS ST HOBART 7000 
25 SALAMANCA PL BATTERY POINT 7004 
27 SALAMANCA PL BATTERY POINT 7004 
29 SALAMANCA PL BATTERY POINT 7004 
1 31-35 SALAMANCA PL BATTERY POINT 7004 
47-51 SALAMANCA PL BATTERY POINT 7004 
56 WENTWORTH ST SOUTH HOBART 7004 
53-61 SALAMANCA PL BATTERY POINT 7004 
332-342 MACQUARIE ST SOUTH HOBART 7004 
342 MACQUARIE ST SOUTH HOBART 7004 
332 MACQUARIE ST SOUTH HOBART 7004 
340 MACQUARIE ST SOUTH HOBART 7004 
338 MACQUARIE ST SOUTH HOBART 7004 
336 MACQUARIE ST SOUTH HOBART 7004 
334 MACQUARIE ST SOUTH HOBART 7004 
63 SALAMANCA PL BATTERY POINT 7004 
65 SALAMANCA PL BATTERY POINT 7004 
67 SALAMANCA PL BATTERY POINT 7004 
69 SALAMANCA PL BATTERY POINT 7004 
71 SALAMANCA PL BATTERY POINT 7004 
73 SALAMANCA PL BATTERY POINT 7004 
75 SALAMANCA PL BATTERY POINT 7004 
77 SALAMANCA PL BATTERY POINT 7004 
79 SALAMANCA PL BATTERY POINT 7004 
81 SALAMANCA PL BATTERY POINT 7004 
85 SALAMANCA PL BATTERY POINT 7004 
89 SALAMANCA PL BATTERY POINT 7004 
100 SALAMANCA PL BATTERY POINT 7004 
102 SALAMANCA PL BATTERY POINT 7004 
104 SALAMANCA PL BATTERY POINT 7004 
106 SALAMANCA PL BATTERY POINT 7004 
39 SALAMANCA PL BATTERY POINT 7004 
41 SALAMANCA PL BATTERY POINT 7004 
13 NEWCASTLE ST BATTERY POINT 7004 
102 SANDY BAY RD BATTERY POINT 7004 
86 SANDY BAY RD BATTERY POINT 7004 
1 SECHERON RD BATTERY POINT 7004 
21 SECHERON RD BATTERY POINT 7004 
19 SECHERON RD BATTERY POINT 7004 
11 SECHERON RD BATTERY POINT 7004 
17 SECHERON RD BATTERY POINT 7004 
2 SLOANE ST BATTERY POINT 7004 
1 SLOANE ST BATTERY POINT 7004 
3 SLOANE ST BATTERY POINT 7004 
6 SLOANE ST BATTERY POINT 7004 
8 SLOANE ST BATTERY POINT 7004 
12 SLOANE ST BATTERY POINT 7004 
5 SOUTH ST BATTERY POINT 7004 
7 SOUTH ST BATTERY POINT 7004 
9 SOUTH ST BATTERY POINT 7004 
11 SOUTH ST BATTERY POINT 7004 
13 SOUTH ST BATTERY POINT 7004 
15 SOUTH ST BATTERY POINT 7004 
17 SOUTH ST BATTERY POINT 7004 
19-21 SOUTH ST BATTERY POINT 7004 
23 SOUTH ST BATTERY POINT 7004 
25-27 SOUTH ST BATTERY POINT 7004 
33 SOUTH ST BATTERY POINT 7004 
35 SOUTH ST BATTERY POINT 7004 
39 SOUTH ST BATTERY POINT 7004 
41 SOUTH ST BATTERY POINT 7004 
12 SOUTH ST BATTERY POINT 7004 
14 SOUTH ST BATTERY POINT 7004 
16 SOUTH ST BATTERY POINT 7004 
16A SOUTH ST BATTERY POINT 7004 
22 SOUTH ST BATTERY POINT 7004 
38 SOUTH ST BATTERY POINT 7004 
3 SOUTH ST BATTERY POINT 7004 
30 SOUTH ST BATTERY POINT 7004 
27-31 ST GEORGES TCE BATTERY POINT 7004 
20 ST GEORGES TCE BATTERY POINT 7004 
22 ST GEORGES TCE BATTERY POINT 7004 
19 ST GEORGES TCE BATTERY POINT 7004 
45 ST GEORGES TCE BATTERY POINT 7004 
4 ST GEORGES TCE BATTERY POINT 7004 
6 ST GEORGES TCE BATTERY POINT 7004 
8 ST GEORGES TCE BATTERY POINT 7004 
10 ST GEORGES TCE BATTERY POINT 7004 
12 ST GEORGES TCE BATTERY POINT 7004 
16A ST GEORGES TCE BATTERY POINT 7004 
11 ST GEORGES TCE BATTERY POINT 7004 
33 ST GEORGES TCE BATTERY POINT 7004 
35 ST GEORGES TCE BATTERY POINT 7004 
35 GEORGE ST BATTERY POINT 7004 
39-39A ST GEORGES TCE BATTERY POINT 7004 
34 ST GEORGES TCE BATTERY POINT 7004 
36 ST GEORGES TCE BATTERY POINT 7004 
50 ST GEORGES TCE BATTERY POINT 7004 
56 ST GEORGES TCE BATTERY POINT 7004 
58 ST GEORGES TCE BATTERY POINT 7004 
60 ST GEORGES TCE BATTERY POINT 7004 
62 ST GEORGES TCE BATTERY POINT 7004 
1 ST GEORGES TCE BATTERY POINT 7004 
3 ST GEORGES TCE BATTERY POINT 7004 
5 ST GEORGES TCE BATTERY POINT 7004 
7 ST GEORGES TCE BATTERY POINT 7004 
9 ST GEORGES TCE BATTERY POINT 7004 
21 ST GEORGES TCE BATTERY POINT 7004 
25 ST GEORGES TCE BATTERY POINT 7004 
38 ST GEORGES TCE BATTERY POINT 7004 
40 ST GEORGES TCE BATTERY POINT 7004 
52 ST GEORGES TCE BATTERY POINT 7004 
54 ST GEORGES TCE BATTERY POINT 7004 
59 ST GEORGES TCE BATTERY POINT 7004 
24-26 ST GEORGES TCE BATTERY POINT 7004 
46 ST GEORGES TCE BATTERY POINT 7004 
61 ST GEORGES TCE BATTERY POINT 7004 
29 TRUMPETER ST BATTERY POINT 7004 
16 TRUMPETER ST BATTERY POINT 7004 
18 TRUMPETER ST BATTERY POINT 7004 
5 TRUMPETER ST BATTERY POINT 7004 
10 TRUMPETER ST BATTERY POINT 7004 
12 TRUMPETER ST BATTERY POINT 7004 
11 WATERLOO CRES BATTERY POINT 7004 
18 WASHINGTON ST SOUTH HOBART 7004 
15-17 WATERLOO CRES BATTERY POINT 7004 
19 WATERLOO CRES BATTERY POINT 7004 
30 WATERLOO CRES BATTERY POINT 7004 
8 WATERLOO CRES BATTERY POINT 7004 
3 WATERLOO CRES BATTERY POINT 7004 
16 WATERLOO CRES BATTERY POINT 7004 
12 WATERLOO CRES BATTERY POINT 7004 
1A (Plate No. 2116) FORESHORE LEASES NEW TOWN 7008 
25 QUEENS WALK NEW TOWN 7008 
27 QUEENS WALK NEW TOWN 7008 
100 KING ST SANDY BAY 7005 
3 LASSWADE AVE SANDY BAY 7004 
38 PARLIAMENT ST SANDY BAY 7005 
25 PROCTORS RD DYNNYRNE 7005 
34 VIEW ST SANDY BAY 7005 
725 HUON RD FERN TREE 7054 
71 BROOKER AVE GLEBE 7000 
5 ABERDEEN ST GLEBE 7000 
7 ABERDEEN ST GLEBE 7000 
11 ABERDEEN ST GLEBE 7000 
12 ABERDEEN ST GLEBE 7000 
15 ABERDEEN ST GLEBE 7000 
16 ABERDEEN ST GLEBE 7000 
1 BAYLEY ST GLEBE 7000 
3 BAYLEY ST GLEBE 7000 
5 BAYLEY ST GLEBE 7000 
4 BAYLEY ST GLEBE 7000 
18 BAYLEY ST GLEBE 7000 
22 BAYLEY ST GLEBE 7000 
9 BAYLEY ST GLEBE 7000 
11 BAYLEY ST GLEBE 7000 
15 BAYLEY ST GLEBE 7000 
17 BAYLEY ST GLEBE 7000 
103 BROOKER AVE GLEBE 7000 
149 BROOKER AVE GLEBE 7000 
28 149 BROOKER AVE GLEBE 7000 
12 SHOOBRIDGE ST GLEBE 7000 
83 BROOKER AVE GLEBE 7000 
7 DAVENPORT ST GLEBE 7000 
2 DAVENPORT ST GLEBE 7000 
4 DAVENPORT ST GLEBE 7000 
18 DAVENPORT ST GLEBE 7000 
10 DAVENPORT ST GLEBE 7000 
14 DAVENPORT ST GLEBE 7000 
16 DAVENPORT ST GLEBE 7000 
20 DAVENPORT ST GLEBE 7000 
1 EDWARD ST GLEBE 7000 
5-7 EDWARD ST GLEBE 7000 
11 EDWARD ST GLEBE 7000 
2 EDWARD ST GLEBE 7000 
9 GLEBE ST GLEBE 7000 
17 GLEBE ST GLEBE 7000 
10 GLEBE ST GLEBE 7000 
16 GLEBE ST GLEBE 7000 
18 GLEBE ST GLEBE 7000 
20 GLEBE ST GLEBE 7000 
1 GLEBE ST GLEBE 7000 
19 GLEBE ST GLEBE 7000 
1 LILLIE ST GLEBE 7000 
3 LILLIE ST GLEBE 7000 
5 LILLIE ST GLEBE 7000 
7 LILLIE ST GLEBE 7000 
11 LILLIE ST GLEBE 7000 
15 LILLIE ST GLEBE 7000 
21 LILLIE ST GLEBE 7000 
25 LILLIE ST GLEBE 7000 
27 LILLIE ST GLEBE 7000 
29 LILLIE ST GLEBE 7000 
3 SCOTT ST GLEBE 7000 
5 SCOTT ST GLEBE 7000 
7 SCOTT ST GLEBE 7000 
9 SCOTT ST GLEBE 7000 
4 SCOTT ST GLEBE 7000 
6 SCOTT ST GLEBE 7000 
16 SCOTT ST GLEBE 7000 
3 SERVICE ST GLEBE 7000 
5 SERVICE ST GLEBE 7000 
7 SERVICE ST GLEBE 7000 
125 BROOKER AVE GLEBE 7000 
1 SHOOBRIDGE ST GLEBE 7000 
9A SHOOBRIDGE ST GLEBE 7000 
1 SHORT ST GLEBE 7000 
5 SHORT ST GLEBE 7000 
4 ANTILL ST SOUTH HOBART 7004 
43 LIVERPOOL ST HOBART 7000 
59 ARGYLE ST HOBART 7000 
77-79 ARGYLE ST HOBART 7000 
123 ARGYLE ST HOBART 7000 
151-153 ARGYLE ST HOBART 7000 
10-14 DAVEY ST HOBART 7000 
111 BROOKER AVE GLEBE 7000 
50 MACQUARIE ST HOBART 7000 
128-142 ARGYLE ST HOBART 7000 
50 LIVERPOOL ST HOBART 7000 
1 BARRACK ST HOBART 7000 
5-7 BARRACK ST HOBART 7000 
131 BATHURST ST HOBART 7000 
4 BARRACK ST HOBART 7000 
12 BARRACK ST HOBART 7000 
121-123 BATHURST ST HOBART 7000 
129 BATHURST ST HOBART 7000 
28 BATHURST ST HOBART 7000 
18-36 CRITERION ST HOBART 7000 
106 BATHURST ST HOBART 7000 
221-223 COLLINS ST HOBART 7000 
3 BRISBANE ST HOBART 7000 
19 BRISBANE ST HOBART 7000 
21-23 BRISBANE ST HOBART 7000 
27 BRISBANE ST HOBART 7000 
25 BRISBANE ST HOBART 7000 
29 BRISBANE ST HOBART 7000 
65 BRISBANE ST HOBART 7000 
8 BROOKE ST HOBART 7000 
1-7 LIVERPOOL ST HOBART 7000 
60 BURNETT ST NORTH HOBART 7000 
105 BROOKER AVE GLEBE 7000 
7 CAMPBELL ST HOBART 7000 
29 CAMPBELL ST HOBART 7000 
15-17 LIVERPOOL ST HOBART 7000 
57 CAMPBELL ST HOBART 7000 
93-97 CAMPBELL ST HOBART 7000 
99 CAMPBELL ST HOBART 7000 
101 CAMPBELL ST HOBART 7000 
145 CAMPBELL ST HOBART 7000 
157 CAMPBELL ST HOBART 7000 
165 CAMPBELL ST HOBART 7000 
169-173 CAMPBELL ST HOBART 7000 
181-189 CAMPBELL ST HOBART 7000 
191 CAMPBELL ST HOBART 7000 
193 CAMPBELL ST HOBART 7000 
207 CAMPBELL ST NORTH HOBART 7000 
221 CAMPBELL ST NORTH HOBART 7000 
19-29 LIVERPOOL ST HOBART 7000 
98A CAMPBELL ST HOBART 7000 
100-102 CAMPBELL ST HOBART 7000 
104 CAMPBELL ST HOBART 7000 
142 CAMPBELL ST HOBART 7000 
172 CAMPBELL ST HOBART 7000 
184-186 CAMPBELL ST HOBART 7000 
216 CAMPBELL ST NORTH HOBART 7000 
199-201 CAMPBELL ST NORTH HOBART 7000 
176 CAMPBELL ST NORTH HOBART 7000 
1 CHURCH ST HOBART 7000 
3-5 CHURCH ST HOBART 7000 
7-9 CHURCH ST HOBART 7000 
7 CHURCH ST HOBART 7000 
9 CHURCH ST HOBART 7000 
17 CHURCH ST HOBART 7000 
2 CHURCH ST HOBART 7000 
6-8 CHURCH ST HOBART 7000 
10-12 CHURCH ST HOBART 7000 
14 CHURCH ST HOBART 7000 
53-57 COLLINS ST HOBART 7000 
77 COLLINS ST HOBART 7000 
121-123 COLLINS ST HOBART 7000 
153 COLLINS ST HOBART 7000 
155-157 COLLINS ST HOBART 7000 
221 COLLINS ST HOBART 7000 
225 COLLINS ST HOBART 7000 
116-118 COLLINS ST HOBART 7000 
154-156 COLLINS ST HOBART 7000 
154 COLLINS ST HOBART 7000 
180-184 COLLINS ST HOBART 7000 
186 COLLINS ST HOBART 7000 
210 COLLINS ST HOBART 7000 
73 COLLINS ST HOBART 7000 
117 COLLINS ST HOBART 7000 
117 COLLINS COLLINS ST HOBART 7000 
117 COLLINS ST HONART 7000 
56 COLLINS ST HOBART 7000 
136 COLLINS ST HOBART 7000 
138 COLLINS ST HOBART 7000 
190-202 COLLINS ST HOBART 7000 
5 188 COLLINS ST HOBART 7000 
208 COLLINS ST HOBART 7000 
19 COLLINS ST HOBART 7000 
8 COLLINS ST HOBART 7000 
16 COLLINS ST HOBART 7000 
36 COLLINS ST HOBART 7000 
9 CAMPBELL ST HOBART 7000 
11 CAMPBELL ST HOBART 7000 
13 CAMPBELL ST HOBART 7000 
15 CAMPBELL ST HOBART 7000 
17 15 CAMPBELL ST HOBART 7000 
38 COLLINS ST HOBART 7000 
